index,value
1,111
1.0011834319526627,113
1.0023668639053254,76
1.0035502958579883,82
1.004733727810651,91
1.0059171597633136,87
1.0071005917159763,75
1.008284023668639,89
1.0094674556213017,99
1.0106508875739646,125
1.0118343195266273,99
1.01301775147929,122
1.0142011834319526,171
1.0153846153846153,159
1.016568047337278,186
1.017751479289941,175
1.0189349112426036,168
1.0201183431952663,191
1.021301775147929,224
1.0224852071005917,212
1.0236686390532543,207
1.0248520710059172,219
1.02603550295858,243
1.0272189349112426,266
1.0284023668639053,286
1.029585798816568,378
1.0307692307692307,344
1.0319526627218936,366
1.0331360946745562,364
1.034319526627219,335
1.0355029585798816,350
1.0366863905325443,372
1.0378698224852072,372
1.0390532544378699,398
1.0402366863905326,382
1.0414201183431953,382
1.042603550295858,387
1.0437869822485206,378
1.0449704142011835,358
1.0461538461538462,389
1.047337278106509,357
1.0485207100591716,369
1.0497041420118343,367
1.050887573964497,385
1.0520710059171599,383
1.0532544378698225,389
1.0544378698224852,350
1.055621301775148,398
1.0568047337278106,352
1.0579881656804733,355
1.0591715976331362,369
1.0603550295857989,362
1.0615384615384615,357
1.0627218934911242,361
1.063905325443787,369
1.0650887573964498,333
1.0662721893491125,330
1.0674556213017752,367
1.0686390532544379,352
1.0698224852071005,322
1.0710059171597632,333
1.0721893491124261,322
1.0733727810650888,328
1.0745562130177515,340
1.0757396449704142,354
1.0769230769230769,337
1.0781065088757396,332
1.0792899408284025,350
1.0804733727810651,318
1.0816568047337278,331
1.0828402366863905,333
1.0840236686390532,341
1.0852071005917159,337
1.0863905325443788,303
1.0875739644970415,305
1.0887573964497042,300
1.0899408284023668,307
1.0911242603550295,305
1.0923076923076924,317
1.093491124260355,325
1.0946745562130178,322
1.0958579881656805,315
1.0970414201183432,309
1.0982248520710058,317
1.0994082840236685,309
1.1005917159763314,310
1.1017751479289941,311
1.1029585798816568,289
1.1041420118343195,340
1.1053254437869822,303
1.106508875739645,316
1.1076923076923078,320
1.1088757396449704,295
1.1100591715976331,302
1.1112426035502958,320
1.1124260355029585,316
1.1136094674556214,301
1.114792899408284,307
1.1159763313609468,283
1.1171597633136094,289
1.1183431952662721,289
1.1195266272189348,296
1.1207100591715977,304
1.1218934911242604,291
1.123076923076923,285
1.1242603550295858,282
1.1254437869822485,275
1.1266272189349111,296
1.127810650887574,317
1.1289940828402367,267
1.1301775147928994,294
1.131360946745562,286
1.1325443786982248,266
1.1337278106508877,268
1.1349112426035504,241
1.136094674556213,262
1.1372781065088757,254
1.1384615384615384,242
1.139644970414201,254
1.140828402366864,250
1.1420118343195267,225
1.1431952662721894,232
1.144378698224852,199
1.1455621301775147,179
1.1467455621301774,192
1.1479289940828403,200
1.149112426035503,185
1.1502958579881657,193
1.1514792899408284,188
1.152662721893491,160
1.1538461538461537,144
1.1550295857988166,161
1.1562130177514793,169
1.157396449704142,141
1.1585798816568047,150
1.1597633136094674,138
1.1609467455621303,146
1.162130177514793,122
1.1633136094674557,135
1.1644970414201183,130
1.165680473372781,127
1.1668639053254437,134
1.1680473372781064,124
1.1692307692307693,123
1.170414201183432,120
1.1715976331360947,123
1.1727810650887573,110
1.17396449704142,121
1.175147928994083,118
1.1763313609467456,127
1.1775147928994083,116
1.178698224852071,106
1.1798816568047337,102
1.1810650887573964,78
1.1822485207100593,108
1.183431952662722,109
1.1846153846153846,119
1.1857988165680473,98
1.18698224852071,99
1.188165680473373,79
1.1893491124260356,86
1.1905325443786983,84
1.191715976331361,87
1.1928994082840236,83
1.1940828402366863,93
1.195266272189349,82
1.196449704142012,86
1.1976331360946746,78
1.1988165680473373,79
1.2,108
1.2011834319526626,83
1.2023668639053255,74
1.2035502958579882,67
1.204733727810651,67
1.2059171597633136,65
1.2071005917159763,82
1.208284023668639,91
1.2094674556213019,96
1.2106508875739646,84
1.2118343195266272,115
1.21301775147929,113
1.2142011834319526,138
1.2153846153846155,122
1.2165680473372782,139
1.2177514792899409,166
1.2189349112426036,158
1.2201183431952662,154
1.221301775147929,171
1.2224852071005916,174
1.2236686390532545,183
1.2248520710059172,206
1.2260355029585799,236
1.2272189349112426,193
1.2284023668639052,281
1.2295857988165682,282
1.2307692307692308,304
1.2319526627218935,292
1.2331360946745562,284
1.2343195266272189,297
1.2355029585798816,341
1.2366863905325445,309
1.2378698224852072,321
1.2390532544378698,315
1.2402366863905325,333
1.2414201183431952,313
1.242603550295858,327
1.2437869822485208,341
1.2449704142011835,331
1.2461538461538462,299
1.2473372781065089,304
1.2485207100591715,316
1.2497041420118342,308
1.2508875739644971,305
1.2520710059171598,307
1.2532544378698225,296
1.2544378698224852,314
1.2556213017751479,306
1.2568047337278108,326
1.2579881656804734,281
1.2591715976331361,282
1.2603550295857988,296
1.2615384615384615,293
1.2627218934911242,309
1.2639053254437869,312
1.2650887573964498,323
1.2662721893491125,289
1.2674556213017751,259
1.2686390532544378,255
1.2698224852071007,301
1.2710059171597634,285
1.272189349112426,273
1.2733727810650888,283
1.2745562130177515,280
1.2757396449704141,320
1.2769230769230768,276
1.2781065088757395,323
1.2792899408284024,261
1.280473372781065,293
1.2816568047337278,261
1.2828402366863905,263
1.2840236686390534,263
1.285207100591716,258
1.2863905325443787,263
1.2875739644970414,260
1.288757396449704,283
1.2899408284023668,230
1.2911242603550295,252
1.2923076923076924,251
1.293491124260355,276
1.2946745562130177,267
1.2958579881656804,283
1.2970414201183433,273
1.298224852071006,268
1.2994082840236687,259
1.3005917159763314,243
1.301775147928994,268
1.3029585798816568,257
1.3041420118343194,248
1.3053254437869821,265
1.306508875739645,267
1.3076923076923077,232
1.3088757396449704,248
1.310059171597633,258
1.311242603550296,266
1.3124260355029587,267
1.3136094674556213,273
1.314792899408284,271
1.3159763313609467,284
1.3171597633136094,248
1.318343195266272,249
1.319526627218935,278
1.3207100591715977,249
